idx,question,entity_text,entity_source,reference_source,reference_text,layer,p_score,s1_score,s2_score,s1_delta,s2_delta,delta_gap,ratio_s2_over_s1,ratio_s2_over_s1_clipped,s1_status,s2_status,s1_em,s2_em,uds
0,"What is the full name of the author born in Taipei, Taiwan on 05/11/1991 who writes in the genre of leadership?",Hsiao Yun-Hwa,gt,gt, Hsiao Yun-Hwa.,0,-0.11328125,-0.11669921875,-0.11669921875,0.00341796875,0.00341796875,0.0,1.0,1.0,KEPT,KEPT,,,1.0
0,"What is the full name of the author born in Taipei, Taiwan on 05/11/1991 who writes in the genre of leadership?",Hsiao Yun-Hwa,gt,gt, Hsiao Yun-Hwa.,1,-0.11328125,-0.1142578125,-0.1142578125,0.0009765625,0.0009765625,0.0,1.0,1.0,KEPT,KEPT,,,1.0
0,"What is the full name of the author born in Taipei, Taiwan on 05/11/1991 who writes in the genre of leadership?",Hsiao Yun-Hwa,gt,gt, Hsiao Yun-Hwa.,2,-0.11328125,-0.11279296875,-0.11279296875,-0.00048828125,-0.00048828125,0.0,1.0,1.0,KEPT,KEPT,,,1.0
0,"What is the full name of the author born in Taipei, Taiwan on 05/11/1991 who writes in the genre of leadership?",Hsiao Yun-Hwa,gt,gt, Hsiao Yun-Hwa.,3,-0.11328125,-0.11279296875,-0.11279296875,-0.00048828125,-0.00048828125,0.0,1.0,1.0,KEPT,KEPT,,,1.0
0,"What is the full name of the author born in Taipei, Taiwan on 05/11/1991 who writes in the genre of leadership?",Hsiao Yun-Hwa,gt,gt, Hsiao Yun-Hwa.,4,-0.11328125,-0.1123046875,-0.1123046875,-0.0009765625,-0.0009765625,0.0,1.0,1.0,KEPT,KEPT,,,1.0
0,"What is the full name of the author born in Taipei, Taiwan on 05/11/1991 who writes in the genre of leadership?",Hsiao Yun-Hwa,gt,gt, Hsiao Yun-Hwa.,5,-0.11328125,-0.111328125,-0.111328125,-0.001953125,-0.001953125,0.0,1.0,1.0,KEPT,KEPT,,,1.0
0,"What is the full name of the author born in Taipei, Taiwan on 05/11/1991 who writes in the genre of leadership?",Hsiao Yun-Hwa,gt,gt, Hsiao Yun-Hwa.,6,-0.11328125,-0.10791015625,-0.10791015625,-0.00537109375,-0.00537109375,0.0,1.0,1.0,KEPT,KEPT,,,1.0
0,"What is the full name of the author born in Taipei, Taiwan on 05/11/1991 who writes in the genre of leadership?",Hsiao Yun-Hwa,gt,gt, Hsiao Yun-Hwa.,7,-0.11328125,-0.1083984375,-0.1083984375,-0.0048828125,-0.0048828125,0.0,1.0,1.0,KEPT,KEPT,,,1.0
0,"What is the full name of the author born in Taipei, Taiwan on 05/11/1991 who writes in the genre of leadership?",Hsiao Yun-Hwa,gt,gt, Hsiao Yun-Hwa.,8,-0.11328125,-0.10791015625,-0.10791015625,-0.00537109375,-0.00537109375,0.0,1.0,1.0,KEPT,KEPT,,,1.0
0,"What is the full name of the author born in Taipei, Taiwan on 05/11/1991 who writes in the genre of leadership?",Hsiao Yun-Hwa,gt,gt, Hsiao Yun-Hwa.,9,-0.11328125,-0.10546875,-0.10546875,-0.0078125,-0.0078125,0.0,1.0,1.0,KEPT,KEPT,,,1.0
0,"What is the full name of the author born in Taipei, Taiwan on 05/11/1991 who writes in the genre of leadership?",Hsiao Yun-Hwa,gt,gt, Hsiao Yun-Hwa.,10,-0.11328125,-0.10498046875,-0.10498046875,-0.00830078125,-0.00830078125,0.0,1.0,1.0,KEPT,KEPT,,,1.0
0,"What is the full name of the author born in Taipei, Taiwan on 05/11/1991 who writes in the genre of leadership?",Hsiao Yun-Hwa,gt,gt, Hsiao Yun-Hwa.,11,-0.11328125,-0.11279296875,-0.11279296875,-0.00048828125,-0.00048828125,0.0,1.0,1.0,KEPT,KEPT,,,1.0
0,"What is the full name of the author born in Taipei, Taiwan on 05/11/1991 who writes in the genre of leadership?",Hsiao Yun-Hwa,gt,gt, Hsiao Yun-Hwa.,12,-0.11328125,-0.11181640625,-0.11181640625,-0.00146484375,-0.00146484375,0.0,1.0,1.0,KEPT,KEPT,,,1.0
0,"What is the full name of the author born in Taipei, Taiwan on 05/11/1991 who writes in the genre of leadership?",Hsiao Yun-Hwa,gt,gt, Hsiao Yun-Hwa.,13,-0.11328125,-0.11767578125,-0.11767578125,0.00439453125,0.00439453125,0.0,1.0,1.0,KEPT,KEPT,,,1.0
0,"What is the full name of the author born in Taipei, Taiwan on 05/11/1991 who writes in the genre of leadership?",Hsiao Yun-Hwa,gt,gt, Hsiao Yun-Hwa.,14,-0.11328125,-0.12890625,-0.12890625,0.015625,0.015625,0.0,1.0,1.0,KEPT,KEPT,,,1.0
0,"What is the full name of the author born in Taipei, Taiwan on 05/11/1991 who writes in the genre of leadership?",Hsiao Yun-Hwa,gt,gt, Hsiao Yun-Hwa.,15,-0.11328125,-0.1416015625,-0.1416015625,0.0283203125,0.0283203125,0.0,1.0,1.0,KEPT,KEPT,,,1.0
0,"What is the full name of the author born in Taipei, Taiwan on 05/11/1991 who writes in the genre of leadership?",Hsiao Yun-Hwa,gt,gt, Hsiao Yun-Hwa.,16,-0.11328125,-0.154296875,-0.154296875,0.041015625,0.041015625,0.0,1.0,1.0,KEPT,KEPT,,,1.0
0,"What is the full name of the author born in Taipei, Taiwan on 05/11/1991 who writes in the genre of leadership?",Hsiao Yun-Hwa,gt,gt, Hsiao Yun-Hwa.,17,-0.11328125,-0.1875,-0.1875,0.07421875,0.07421875,0.0,1.0,1.0,LOST,LOST,,,1.0
0,"What is the full name of the author born in Taipei, Taiwan on 05/11/1991 who writes in the genre of leadership?",Hsiao Yun-Hwa,gt,gt, Hsiao Yun-Hwa.,18,-0.11328125,-0.234375,-0.234375,0.12109375,0.12109375,0.0,1.0,1.0,LOST,LOST,,,1.0
0,"What is the full name of the author born in Taipei, Taiwan on 05/11/1991 who writes in the genre of leadership?",Hsiao Yun-Hwa,gt,gt, Hsiao Yun-Hwa.,19,-0.11328125,-0.330078125,-0.330078125,0.216796875,0.216796875,0.0,1.0,1.0,LOST,LOST,,,1.0
0,"What is the full name of the author born in Taipei, Taiwan on 05/11/1991 who writes in the genre of leadership?",Hsiao Yun-Hwa,gt,gt, Hsiao Yun-Hwa.,20,-0.11328125,-0.498046875,-0.498046875,0.384765625,0.384765625,0.0,1.0,1.0,LOST,LOST,,,1.0
